,Size,Model,Compress Success,Time to Compress,File Size Change,Decompress Success,Time to Decompress
0,271,mbt2018-mean-mse-4,Y,0.6779115200042725,117216,Y,0.5376706123352051
0,271,mbt2018-mean-mse-5,Y,0.6773707866668701,115784,Y,0.5221235752105713
0,271,mbt2018-mean-mse-6,Y,0.6750075817108154,113726,Y,0.503251314163208
0,271,mbt2018-mean-mse-7,Y,0.6667790412902832,110384,Y,0.49674558639526367
0,271,mbt2018-mean-mse-8,Y,0.6705441474914551,107996,Y,0.49263525009155273
0,271,mbt2018-mean-msssim-1,Y,0.7570345401763916,119625,Y,0.5168874263763428
0,271,mbt2018-mean-msssim-2,Y,0.6771457195281982,118702,Y,0.5220248699188232
0,271,mbt2018-mean-msssim-3,Y,0.6835682392120361,118195,Y,0.49420619010925293
0,271,mbt2018-mean-msssim-4,Y,0.7466003894805908,116757,Y,0.4909641742706299
0,271,mbt2018-mean-msssim-5,Y,0.6684982776641846,115087,Y,0.5209112167358398
0,271,mbt2018-mean-msssim-6,Y,0.6708149909973145,113291,Y,0.4922623634338379
0,271,mbt2018-mean-msssim-7,Y,0.6713964939117432,110493,Y,0.5781562328338623
0,271,mbt2018-mean-msssim-8,Y,0.6664838790893555,105795,Y,0.49697256088256836
0,383,hific-lo,Y,1.7821614742279053,227873,Y,3.2206132411956787
0,383,hific-mi,Y,1.8189058303833008,224052,Y,3.5977184772491455
0,383,hific-hi,Y,2.0592892169952393,221802,Y,3.6423163414001465
0,383,mbt2018-mean-mse-1,Y,0.7818520069122314,230394,Y,0.7170019149780273
0,383,mbt2018-mean-mse-2,Y,0.7657437324523926,229286,Y,0.6887614727020264
0,383,mbt2018-mean-mse-3,Y,0.8495931625366211,227622,Y,0.6825981140136719
0,383,mbt2018-mean-mse-4,Y,0.7624361515045166,225926,Y,0.6857099533081055
0,383,mbt2018-mean-mse-5,Y,0.7652595043182373,223540,Y,0.700570821762085
0,383,mbt2018-mean-mse-6,Y,0.8516881465911865,220342,Y,0.7152795791625977
0,383,mbt2018-mean-mse-7,Y,0.771503210067749,216726,Y,0.687403678894043
0,383,mbt2018-mean-mse-8,Y,0.7696945667266846,211383,Y,0.688880443572998
0,383,mbt2018-mean-msssim-1,Y,0.7650706768035889,229669,Y,0.7551219463348389
0,383,mbt2018-mean-msssim-2,Y,0.7526748180389404,228543,Y,0.671872615814209
0,383,mbt2018-mean-msssim-3,Y,0.7615010738372803,226723,Y,0.6852209568023682
0,383,mbt2018-mean-msssim-4,Y,0.7632288932800293,222191,Y,0.6852569580078125
0,383,mbt2018-mean-msssim-5,Y,0.7647573947906494,219355,Y,0.7170336246490479
0,383,mbt2018-mean-msssim-6,Y,0.7621750831604004,215256,Y,0.6858518123626709
0,383,mbt2018-mean-msssim-7,Y,0.7684483528137207,211584,Y,0.7232170104980469
0,383,mbt2018-mean-msssim-8,Y,0.8361122608184814,202608,Y,0.6896297931671143
0,541,hific-lo,Y,2.0499024391174316,377353,Y,4.096389055252075
0,541,hific-mi,Y,2.1190011501312256,370387,Y,4.0708184242248535
0,541,hific-hi,Y,2.2511847019195557,366501,Y,4.390277862548828
0,541,mbt2018-mean-mse-1,Y,0.950263261795044,381562,Y,1.0543632507324219
0,541,mbt2018-mean-mse-2,Y,0.9532058238983154,379452,Y,1.0868818759918213
0,541,mbt2018-mean-mse-3,Y,0.9520151615142822,376474,Y,1.1678218841552734
0,541,mbt2018-mean-mse-4,Y,0.9711737632751465,372900,Y,1.0722143650054932
0,541,mbt2018-mean-mse-5,Y,0.9470376968383789,368671,Y,1.0481741428375244
0,541,mbt2018-mean-mse-6,Y,0.9538109302520752,362071,Y,1.04793119430542
0,541,mbt2018-mean-mse-7,Y,0.9533193111419678,352015,Y,1.057821273803711
0,541,mbt2018-mean-mse-8,Y,0.9689052104949951,343855,Y,1.0683152675628662
0,541,mbt2018-mean-msssim-1,Y,0.992936372756958,380327,Y,1.1181142330169678
0,541,mbt2018-mean-msssim-2,Y,1.026071548461914,377867,Y,1.0383398532867432
0,541,mbt2018-mean-msssim-3,Y,0.966118335723877,375159,Y,1.0386064052581787
0,541,mbt2018-mean-msssim-4,Y,0.950800895690918,371055,Y,1.082042932510376
0,541,mbt2018-mean-msssim-5,Y,1.0277090072631836,365448,Y,1.039461374282837
0,541,mbt2018-mean-msssim-6,Y,0.9820764064788818,359120,Y,1.042769193649292
0,541,mbt2018-mean-msssim-7,Y,0.9539129734039307,349596,Y,1.0383515357971191
0,541,mbt2018-mean-msssim-8,Y,0.9588921070098877,335786,Y,1.154493808746338
0,765,hific-lo,Y,2.6173648834228516,618707,Y,6.669323205947876
0,765,hific-mi,Y,2.930742025375366,607539,Y,6.134190082550049
0,765,hific-hi,Y,2.5837109088897705,600348,Y,6.217550992965698
0,765,mbt2018-mean-mse-1,Y,1.3237547874450684,625506,Y,1.7611594200134277
0,765,mbt2018-mean-mse-2,Y,1.3333325386047363,621516,Y,1.7866406440734863
0,765,mbt2018-mean-mse-3,Y,1.3275818824768066,617474,Y,1.782942295074463
0,765,mbt2018-mean-mse-4,Y,1.3968615531921387,612109,Y,1.7593905925750732
0,765,mbt2018-mean-mse-5,Y,1.311875343322754,605271,Y,1.7089757919311523
0,765,mbt2018-mean-mse-6,Y,1.3264713287353516,595947,Y,1.7256581783294678
0,765,mbt2018-mean-mse-7,Y,1.4128923416137695,582583,Y,1.7044262886047363
0,765,mbt2018-mean-mse-8,Y,1.306988000869751,566655,Y,1.7135820388793945
0,765,mbt2018-mean-msssim-1,Y,1.3177649974822998,623305,Y,1.763871192932129
0,765,mbt2018-mean-msssim-2,Y,1.31638503074646,619399,Y,1.7766032218933105
0,765,mbt2018-mean-msssim-3,Y,1.2932026386260986,615034,Y,1.6815993785858154
0,765,mbt2018-mean-msssim-4,Y,1.291891098022461,608464,Y,1.6954054832458496
0,765,mbt2018-mean-msssim-5,Y,1.3111834526062012,599574,Y,1.6888530254364014
0,765,mbt2018-mean-msssim-6,Y,1.3433375358581543,587862,Y,1.6929852962493896
0,765,mbt2018-mean-msssim-7,Y,1.3034882545471191,572242,Y,1.7152628898620605
0,765,mbt2018-mean-msssim-8,Y,1.300022840499878,546130,Y,1.763188123703003
0,1081,hific-lo,Y,3.780837059020996,1069741,Y,10.675198316574097
0,1081,hific-mi,Y,4.1329169273376465,1049679,Y,10.661972999572754
0,1081,hific-hi,Y,3.772953510284424,1036475,Y,10.222660303115845
0,1081,mbt2018-mean-mse-1,Y,2.2243900299072266,1080826,Y,3.2198636531829834
0,1081,mbt2018-mean-mse-2,Y,2.1002156734466553,1073429,Y,3.178398609161377
0,1081,mbt2018-mean-mse-3,Y,2.073955774307251,1064371,Y,3.264125108718872
0,1081,mbt2018-mean-mse-4,Y,2.0759031772613525,1053793,Y,3.2617716789245605
0,1081,mbt2018-mean-mse-5,Y,2.0389208793640137,1040653,Y,3.1217784881591797
0,1081,mbt2018-mean-mse-6,Y,2.0685999393463135,1022403,Y,3.0766518115997314
0,1081,mbt2018-mean-mse-7,Y,2.065859317779541,991239,Y,3.1691653728485107
0,1081,mbt2018-mean-mse-8,Y,2.0532050132751465,964463,Y,3.146035671234131
0,1081,mbt2018-mean-msssim-1,Y,2.054666519165039,1077698,Y,3.0929815769195557
0,1081,mbt2018-mean-msssim-2,Y,2.0319321155548096,1070700,Y,3.0803446769714355
0,1081,mbt2018-mean-msssim-3,Y,2.14735746383667,1063198,Y,3.049408197402954
0,1081,mbt2018-mean-msssim-4,Y,2.0449960231781006,1049778,Y,3.109052896499634
0,1081,mbt2018-mean-msssim-5,Y,2.065310478210449,1032942,Y,3.0698065757751465
0,1081,mbt2018-mean-msssim-6,Y,2.1507303714752197,1012588,Y,3.1017379760742188
0,1081,mbt2018-mean-msssim-7,Y,2.074019193649292,983160,Y,3.066903591156006
0,1081,mbt2018-mean-msssim-8,Y,2.0605099201202393,936900,Y,3.124579429626465
0,1528,hific-lo,Y,5.983702659606934,1842352,Y,17.93926739692688
0,1528,hific-mi,Y,6.14718222618103,1808191,Y,19.37795090675354
0,1528,hific-hi,Y,5.924270391464233,1784919,Y,17.877069234848022
